"filename", "language", "Python", "comment", "blank", "total"
"/home/danvic/JARVIS/Jarvis/core/executor.py", "Python", -23, -14, -10, -47
"/home/danvic/JARVIS/Jarvis/core/intent.py", "Python", 0, 11, 17, 28
"Total", "-", -23, -3, 7, -19
